code_com,code_id,P21_POP,SUPERF,MED21,density,median_income
01001,01001_0001,832,15.95,25820,3.954373611590355,25820
01002,01002_0001,267,9.15,24480,3.3734947791128196,24480
01004,01004_0001,14854,24.6,21660,6.403278025290924,21660
01004,01004_0002,14854,24.6,21660,6.403278025290924,21660
01004,01004_0003,14854,24.6,21660,6.403278025290924,21660
01004,01004_0004,14854,24.6,21660,6.403278025290924,21660
01004,01004_0005,14854,24.6,21660,6.403278025290924,21660
01004,01004_0006,14854,24.6,21660,6.403278025290924,21660
01004,01004_0007,14854,24.6,21660,6.403278025290924,21660
01004,01004_0008,14854,24.6,21660,6.403278025290924,21660
01005,01005_0001,1897,15.92,24610,4.780452789518777,24610
01006,01006_0001,113,5.88,24210,2.955831056801805,24210
01007,01007_0001,2833,33.55,24860,4.436054636412826,24860
01007,01007_0002,2833,33.55,24860,4.436054636412826,24860
01008,01008_0001,768,5.22,26300,4.991292331253125,26300
01009,01009_0001,322,6.94,24810,3.837249771025695,24810
01010,01010_0001,1125,29.26,24700,3.649316919046542,24700
01011,01011_0001,383,14.57,24530,3.2690703689735323,24530
01012,01012_0001,327,21.65,24270,2.7149547164487546,24270
01013,01013_0001,141,14.1,22180,2.302585092994046,22180
01014,01014_0001,3409,23.49,22410,4.977599473467082,22410
01014,01014_0002,3409,23.49,22410,4.977599473467082,22410
01015,01015_0001,667,22.49,23800,3.3897192799443996,23800
01015,01015_0002,667,22.49,23800,3.3897192799443996,23800
01016,01016_0001,459,17.47,23080,3.26856508591458,23080
01017,01017_0001,432,7.84,20790,4.009186753881794,20790
01019,01019_0001,26,6.82,s,1.3382370661661112,NA
01021,01021_0001,1498,5.5,26430,5.607138071838739,26430
01022,01022_0001,1177,3.75,22000,5.748968267277958,22000
01023,01023_0001,77,4.68,s,2.8005073119241284,NA
01024,01024_0001,3336,18.69,24460,5.1845391420111655,24460
01024,01024_0002,3336,18.69,24460,5.1845391420111655,24460
01025,01025_0001,4065,56.87,24880,4.269401060663203,24880
01025,01025_0002,4065,56.87,24880,4.269401060663203,24880
01025,01025_0003,4065,56.87,24880,4.269401060663203,24880
01026,01026_0001,979,0.88,22860,7.014365014040395,22860
01027,01027_0001,2692,18.04,25770,5.005448176130141,25770
01027,01027_0002,2692,18.04,25770,5.005448176130141,25770
01028,01028_0001,621,8.91,25520,4.244156840450761,25520
01029,01029_0001,700,14.07,21350,3.907035463917107,21350
01030,01030_0001,830,0.94,24240,6.783301104508731,24240
01031,01031_0001,3636,7.83,20550,6.140676945294658,20550
01031,01031_0002,3636,7.83,20550,6.140676945294658,20550
01032,01032_0001,3434,13.3,23060,5.5537170062297125,23060
01032,01032_0002,3434,13.3,23060,5.5537170062297125,23060
01033,01033_0001,16295,62.53,23780,5.562967149692455,23780
01033,01033_0002,16295,62.53,23780,5.562967149692455,23780
01033,01033_0003,16295,62.53,23780,5.562967149692455,23780
01033,01033_0004,16295,62.53,23780,5.562967149692455,23780
01033,01033_0005,16295,62.53,23780,5.562967149692455,23780
01033,01033_0006,16295,62.53,23780,5.562967149692455,23780
01033,01033_0007,16295,62.53,23780,5.562967149692455,23780
01033,01033_0008,16295,62.53,23780,5.562967149692455,23780
01033,01033_0009,16295,62.53,23780,5.562967149692455,23780
01033,01033_0010,16295,62.53,23780,5.562967149692455,23780
01033,01033_0011,16295,62.53,23780,5.562967149692455,23780
01034,01034_0001,9239,22.42,21180,6.0212355160267315,21180
01034,01034_0002,9239,22.42,21180,6.0212355160267315,21180
01034,01034_0003,9239,22.42,21180,6.0212355160267315,21180
01034,01034_0004,9239,22.42,21180,6.0212355160267315,21180
01034,01034_0005,9239,22.42,21180,6.0212355160267315,21180
01034,01034_0006,9239,22.42,21180,6.0212355160267315,21180
01035,01035_0001,306,17.63,26160,2.853983105542602,26160
01036,01036_0001,1342,56.71,23820,3.1639657555056906,23820
01036,01036_0002,1342,56.71,23820,3.1639657555056906,23820
01036,01036_0003,1342,56.71,23820,3.1639657555056906,23820
01036,01036_0004,1342,56.71,23820,3.1639657555056906,23820
01037,01037_0001,310,15.33,21770,3.006760604595469,21770
01038,01038_0001,764,18.25,24250,3.73440270913802,24250
01040,01040_0001,480,10.83,23440,3.7914660428890374,23440
01041,01041_0001,749,3.37,25150,5.4038262391529495,25150
01042,01042_0001,290,2.77,25520,4.651033602781273,25520
01043,01043_0001,4877,10.64,28730,6.127665071796554,28730
01043,01043_0002,4877,10.64,28730,6.127665071796554,28730
01043,01043_0003,4877,10.64,28730,6.127665071796554,28730
01044,01044_0001,626,13.7,28550,3.821954538266019,28550
01045,01045_0001,284,15.83,28180,2.8870673642682854,28180
01046,01046_0001,904,11.39,24260,4.374093582933086,24260
01047,01047_0001,1292,9.32,27110,4.931784055645047,27110
01049,01049_0001,3361,9.4,26780,5.879284138449147,26780
01049,01049_0002,3361,9.4,26780,5.879284138449147,26780
01050,01050_0001,386,9.05,23180,3.7530726117529962,23180
01051,01051_0001,95,4.92,s,2.9605683610963243,NA
01052,01052_0001,327,26.09,27630,2.528408071748616,27630
